Angle,Strain,Stress
50,0.2756179,8.293219
50,0.2756179,8.318742
50,0.2809701,8.360239
50,0.2809701,8.39329
50,0.2869118,8.427626
50,0.2869118,8.469307
50,0.2869118,8.498502
50,0.2869118,8.526778
50,0.2869118,8.569011
50,0.2869118,8.603531
50,0.2869118,8.639152
50,0.2918101,8.677711
50,0.2918101,8.707457
50,0.2918101,8.740141
50,0.2918101,8.775763
50,0.2962066,8.817444
50,0.2962066,8.853249
50,0.3009057,8.890706
50,0.3009057,8.926144
50,0.3009057,8.962868
50,0.3009057,8.999224
50,0.3009057,9.03099
50,0.3009057,9.067162
50,0.3009057,9.106639
50,0.3054456,9.138221
50,0.3054456,9.173475
50,0.3054456,9.210382
50,0.3054456,9.238109
50,0.3101766,9.267671
50,0.3101766,9.311372
50,0.3101766,9.346442
50,0.3151546,9.3839
50,0.3151546,9.414013
50,0.3151546,9.445229
50,0.3151546,9.478646
50,0.3151546,9.514268
50,0.3151546,9.54989
50,0.3197263,9.579636
50,0.3197263,9.612319
50,0.3197263,9.647205
50,0.3197263,9.689621
50,0.3244573,9.726712
50,0.3244573,9.751684
50,0.3296821,9.784552
50,0.3296821,9.824213
50,0.3296821,9.859099
50,0.3296821,9.901698
50,0.3296821,9.935117
50,0.3296821,9.963944
50,0.3296821,9.994058
50,0.3343893,10.02509
50,0.3343893,10.05943
50,0.3343893,10.10202
50,0.3343893,10.12589
50,0.3389849,10.15564
50,0.3389849,10.19824
50,0.3438672,10.23239
50,0.3438672,10.26177
50,0.3438672,10.29813
50,0.3438672,10.32457
50,0.3438672,10.35688
50,0.3438672,10.3971
50,0.3438672,10.43253
50,0.3485107,10.47403
50,0.3485107,10.51369
50,0.3485107,10.53169
50,0.3485107,10.56106
50,0.3534169,10.60587
50,0.3534169,10.64112
50,0.3584665,10.67289
50,0.3584665,10.70814
50,0.3584665,10.74486
50,0.3584665,10.77718
50,0.3584665,10.81078
50,0.3584665,10.84512
50,0.3626958,10.88423
50,0.3626958,10.92004
50,0.3626958,10.94556
50,0.3626958,10.98026
50,0.3626958,11.00652
50,0.366917,11.0414
50,0.366917,11.08456
50,0.3714171,11.1121
50,0.3714171,11.15341
50,0.3714171,11.18995
50,0.3714171,11.22925
50,0.3714171,11.26248
50,0.3714171,11.28653
50,0.3753596,11.32583
50,0.3753596,11.36751
50,0.3753596,11.39542
50,0.3753596,11.43269
50,0.3753596,11.4707
50,0.3793579,11.50449
50,0.3793579,11.53699
50,0.3836429,11.57389
50,0.3836429,11.60419
50,0.3836429,11.63559
50,0.3836429,11.66497
50,0.3836429,11.70371
50,0.3836429,11.73548
50,0.3878084,11.77036
50,0.3878084,11.80305
50,0.3878084,11.84454
50,0.3878084,11.87631
50,0.3878084,11.91175
50,0.392404,11.94792
50,0.392404,11.99291
50,0.397358,12.02375
50,0.397358,12.04873
50,0.397358,12.08141
50,0.397358,12.11776
50,0.397358,12.1532
50,0.397358,12.19286
50,0.4016192,12.22738
50,0.4016192,12.26172
50,0.4016192,12.29844
50,0.4016192,12.33278
50,0.4016192,12.3684
50,0.4059918,12.40329
50,0.4059918,12.43414
50,0.4059918,12.46425
50,0.4109777,12.49381
50,0.4109777,12.53347
50,0.4109777,12.57111
50,0.4109777,12.61279
50,0.4109777,12.64272
50,0.4159158,12.6789
50,0.4159158,12.71617
50,0.4159158,12.74996
50,0.4159158,12.78209
50,0.4159158,12.81753
50,0.4210211,12.85407
50,0.4210211,12.88546
50,0.4257362,12.90787
50,0.4257362,12.94606
50,0.4257362,12.98958
50,0.4257362,13.01455
50,0.4257362,13.05604
50,0.4257362,13.09919
50,0.4298141,13.12986
50,0.4298141,13.16603
50,0.4298141,13.20422
50,0.4298141,13.23838
50,0.4298141,13.26977
50,0.4352859,13.29713
50,0.4352859,13.33331
50,0.4421435,13.36874
50,0.4421435,13.40455
50,0.4421435,13.44898
50,0.4421435,13.47377
50,0.4421435,13.50315
50,0.4421435,13.54189
50,0.4480613,13.57935
50,0.4480613,13.61773
50,0.4480613,13.65629
50,0.4480613,13.68677
50,0.4480613,13.72661
50,0.4531108,13.75599
50,0.4531108,13.79088
50,0.4581286,13.82852
50,0.4581286,13.86359
50,0.4581286,13.89058
50,0.4581286,13.92859
50,0.4581286,13.97192
50,0.4581286,14.00112
50,0.462087,14.02866
50,0.462087,14.06612
50,0.462087,14.10174
50,0.462087,14.14305
50,0.462087,14.18382
50,0.462087,14.21558
50,0.4654083,14.24111
50,0.4654083,14.27801
50,0.4654083,14.31455
50,0.4654083,14.35531
50,0.4698048,14.38469
50,0.4698048,14.42362
50,0.4698048,14.46291
50,0.4751491,14.49395
50,0.4751491,14.5292
50,0.4751491,14.56243
50,0.4751491,14.59879
50,0.4751491,14.63239
50,0.4805731,14.66361
50,0.4805731,14.69905
50,0.4853519,14.72769
50,0.4853519,14.77066
50,0.4853519,14.80573
50,0.4853519,14.84484
50,0.4853519,14.87972
50,0.4853519,14.91663
50,0.4897802,14.95354
50,0.4897802,14.98218
50,0.4897802,15.02955
50,0.4897802,15.06022
50,0.4949254,15.08666
50,0.4949254,15.12614
50,0.4949254,15.15551
50,0.5005883,15.19389
50,0.5005883,15.23612
50,0.5005883,15.27431
50,0.5005883,15.31324
50,0.5005883,15.34262
50,0.5005883,15.37402
50,0.5056539,15.40927
50,0.5056539,15.44655
50,0.5056539,15.47648
50,0.5056539,15.50843
50,0.5104805,15.54203
50,0.5104805,15.58352
50,0.5104805,15.62282
50,0.5157451,15.6544
50,0.5157451,15.6959
50,0.5157451,15.7295
50,0.5157451,15.76108
50,0.5157451,15.79321
50,0.5157451,15.82884
50,0.5211293,15.86446
50,0.5211293,15.89255
50,0.5211293,15.93093
50,0.5211293,15.96361
50,0.5266169,16.00162
50,0.5266169,16.02769
50,0.5266169,16.06038
50,0.5323036,16.10261
50,0.5323036,16.1531
50,0.5323036,16.18872
50,0.5323036,16.2137
50,0.5323036,16.24105
50,0.5323036,16.27429
50,0.5372258,16.31689
50,0.5372258,16.35728
50,0.5372258,16.39603
50,0.5372258,16.42449
50,0.5372258,16.4513
50,0.5420923,16.49096
50,0.5420923,16.52842
50,0.5476118,16.56312
50,0.5476118,16.60223
50,0.5476118,16.64079
50,0.5476118,16.66943
50,0.5476118,16.70101
50,0.5476118,16.73719
50,0.552765,16.77024
50,0.552765,16.80935
50,0.552765,16.83817
50,0.552765,16.87361
50,0.5578544,16.90887
50,0.5578544,16.94687
50,0.5578544,16.9746
50,0.5631509,17.00086
50,0.5631509,17.03281
50,0.5631509,17.06751
50,0.5631509,17.10387
50,0.5631509,17.14188
50,0.5631509,17.17493
50,0.5679218,17.2111
50,0.5679218,17.24232
50,0.5679218,17.27243
50,0.5679218,17.31595
50,0.5725572,17.35065
50,0.5725572,17.39251
50,0.5725572,17.41216
50,0.577567,17.44283
50,0.577567,17.48965
50,0.577567,17.52123
50,0.577567,17.55446
50,0.577567,17.58403
50,0.577567,17.61414
50,0.5826724,17.66518
50,0.5826724,17.70227
50,0.5826724,17.73073
50,0.5826724,17.76048
50,0.5884467,17.7928
50,0.5884467,17.82934
50,0.5884467,17.87139
50,0.5943565,17.90076
50,0.5943565,17.93859
50,0.5943565,17.97935
50,0.5943565,18.00469
50,0.5943565,18.03517
50,0.5943565,18.07392
50,0.598761,18.10127
50,0.598761,18.14057
50,0.598761,18.17619
50,0.598761,18.2153
50,0.6030221,18.24339
50,0.6030221,18.27644
50,0.6030221,18.3128
50,0.6082788,18.34695
50,0.6082788,18.38294
50,0.6082788,18.40773
50,0.6082788,18.44004
50,0.6082788,18.48099
50,0.6082788,18.51808
50,0.6136231,18.55334
50,0.6136231,18.58712
50,0.6136231,18.62715
50,0.6136231,18.65726
50,0.6188798,18.68554
50,0.6188798,18.7151
50,0.6188798,18.75697
50,0.6245029,18.79351
50,0.6245029,18.82105
50,0.6245029,18.85098
50,0.6245029,18.87779
50,0.6245029,18.91341
50,0.6245029,18.9483
50,0.6299188,18.98594
50,0.6299188,19.01311
50,0.6299188,19.05149
50,0.6299188,19.09225
50,0.6350879,19.12181
50,0.6350879,19.15156
50,0.6350879,19.18957
50,0.6401615,19.22794
50,0.6401615,19.25273
50,0.6401615,19.29294
50,0.6401615,19.32636
50,0.6401615,19.36217
50,0.6401615,19.39944
50,0.6448686,19.42203
50,0.6448686,19.4615
50,0.6448686,19.50006
50,0.6448686,19.53073
50,0.6498146,19.57057
50,0.6498146,19.60087
50,0.6498146,19.63116
50,0.654936,19.65852
50,0.654936,19.69782
50,0.654936,19.73234
50,0.654936,19.75823
50,0.654936,19.79807
50,0.654936,19.8291
50,0.6601369,19.85132
50,0.6601369,19.88786
50,0.6601369,19.93064
50,0.6601369,19.96773
50,0.665513,19.98591
50,0.665513,20.02117
50,0.665513,20.06156
50,0.6704034,20.10747
50,0.6704034,20.13721
50,0.6704034,20.16384
50,0.6704034,20.19652
50,0.6704034,20.23636
50,0.6704034,20.26262
50,0.6750069,20.30155
50,0.6750069,20.33001
50,0.6750069,20.35829
50,0.6750069,20.39703
50,0.6801123,20.43136
50,0.6801123,20.4624
50,0.6856955,20.49582
50,0.6856955,20.5307
50,0.6856955,20.55622
50,0.6856955,20.59203
50,0.6856955,20.62894
50,0.6856955,20.65666
50,0.6856955,20.68971
50,0.6912628,20.72442
50,0.6912628,20.75838
50,0.6912628,20.79217
50,0.6912628,20.82614
50,0.6966151,20.8579
50,0.6966151,20.88398
50,0.6966151,20.92548
50,0.7016169,20.96477
50,0.7016169,20.98772
50,0.7016169,21.02077
50,0.7016169,21.06539
50,0.7016169,21.0955
50,0.7016169,21.12543
50,0.7063161,21.15812
50,0.7063161,21.18805
50,0.7063161,21.23028
50,0.7063161,21.25727
50,0.7114055,21.29583
50,0.7114055,21.32925
50,0.7168773,21.35808
50,0.7168773,21.38305
50,0.7168773,21.42087
50,0.7168773,21.46384
50,0.7168773,21.4912
50,0.7168773,21.52168
50,0.7168773,21.57328
50,0.7219587,21.60816
50,0.7219587,21.6346
50,0.7219587,21.66417
50,0.7219587,21.69336
50,0.72708,21.72678
50,0.72708,21.75818
50,0.72708,21.78958
50,0.7325916,21.82134
50,0.7325916,21.84742
50,0.7325916,21.88689
50,0.7325916,21.92105
50,0.7325916,21.9484
50,0.7325916,21.98219
50,0.7376093,22.02148
50,0.7376093,22.05068
50,0.7376093,22.08208
50,0.7376093,22.11458
50,0.7422368,22.15148
50,0.7422368,22.17627
50,0.7475572,22.2084
50,0.7475572,22.24311
50,0.7475572,22.27653
50,0.7475572,22.3105
50,0.7475572,22.34979
50,0.7475572,22.37898
50,0.7475572,22.40157
50,0.753005,22.43517
50,0.753005,22.46804
50,0.753005,22.50201
50,0.753005,22.5301
50,0.7586918,22.5705
50,0.7586918,22.60961
50,0.7644423,22.64743
50,0.7644423,22.67442
50,0.7644423,22.70343
50,0.7644423,22.73483
50,0.7644423,22.76733
50,0.7644423,22.79249
50,0.7644423,22.82425
50,0.7695636,22.86447
50,0.7695636,22.89605
50,0.7695636,22.93204
50,0.7695636,22.97353
50,0.7748442,23.00016
50,0.7748442,23.03468
50,0.780539,23.06094
50,0.780539,23.08187
50,0.780539,23.12649
50,0.780539,23.16982
50,0.780539,23.20416
50,0.780539,23.23647
50,0.780539,23.27173
50,0.7858195,23.30551
50,0.7858195,23.32865
50,0.7858195,23.3617
50,0.7858195,23.40118
50,0.7909647,23.43074
50,0.7909647,23.457
50,0.795863,23.48417
50,0.795863,23.51888
50,0.795863,23.55762
50,0.795863,23.59104
50,0.795863,23.61711
50,0.795863,23.65034
50,0.795863,23.68505
50,0.8002914,23.717
50,0.8002914,23.73811
50,0.8002914,23.7697
50,0.8002914,23.80881
50,0.8052215,23.84461
50,0.8052215,23.87803
50,0.8103906,23.91145
50,0.8103906,23.94505
50,0.8103906,23.9691
50,0.8103906,23.99995
50,0.8103906,24.03814
50,0.8103906,24.06513
50,0.8103906,24.09727
50,0.8148667,24.12958
50,0.8148667,24.172
50,0.8148667,24.20652
50,0.8148667,24.24471
50,0.8195022,24.27188
50,0.8195022,24.29667
50,0.8249182,24.32697
50,0.8249182,24.3637
50,0.8249182,24.39729
50,0.8249182,24.42392
50,0.8249182,24.45752
50,0.8249182,24.49186
50,0.8306687,24.51738
50,0.8306687,24.55006
50,0.8306687,24.59285
50,0.8306687,24.62461
50,0.8306687,24.6483
50,0.8365704,24.67731
50,0.8365704,24.70853
50,0.8365704,24.73901
50,0.8421696,24.77444
50,0.8421696,24.81025
50,0.8421696,24.83743
50,0.8421696,24.87562
50,0.8421696,24.90867
50,0.8468928,24.93217
50,0.8468928,24.9542
50,0.8468928,24.99919
50,0.8468928,25.03426
50,0.8468928,25.06639
50,0.851783,25.09834
50,0.851783,25.13011
50,0.8570796,25.17179
50,0.8570796,25.20356
50,0.8570796,25.22724
50,0.8570796,25.25864
50,0.8570796,25.29389
50,0.8570796,25.3174
50,0.8618026,25.35651
50,0.8618026,25.39176
50,0.8618026,25.41765
50,0.8618026,25.45548
50,0.8618026,25.481
50,0.8669159,25.50358
50,0.8669159,25.5337
50,0.8726425,25.56767
50,0.8726425,25.60567
50,0.8726425,25.64736
50,0.8726425,25.67398
50,0.8726425,25.70593
50,0.8726425,25.73366
