Fill,Strain,Stress
60,0.052603,0.423328
60,0.052603,0.4146842
60,0.052603,0.4192222
60,0.05454464,0.4321878
60,0.05454464,0.4378063
60,0.05454464,0.4391029
60,0.05454464,0.44645
60,0.05454464,0.4512041
60,0.05598922,0.4492593
60,0.05598922,0.4388867
60,0.05598922,0.4553099
60,0.05598922,0.4598479
60,0.05598922,0.455526
60,0.05756584,0.4499075
60,0.05756584,0.457903
60,0.05756584,0.4615766
60,0.05932109,0.4736778
60,0.05932109,0.4680594
60,0.05932109,0.4613605
60,0.05932109,0.4725974
60,0.05932109,0.4771354
60,0.060688,0.4784319
60,0.060688,0.4805929
60,0.060688,0.4825377
60,0.060688,0.4842665
60,0.060688,0.4812412
60,0.06209375,0.4918297
60,0.06209375,0.4883723
60,0.06346067,0.4998252
60,0.06346067,0.5022023
60,0.06346067,0.4987448
60,0.06346067,0.4909654
60,0.06346067,0.4894527
60,0.06346067,0.4916137
60,0.06451692,0.501554
60,0.06451692,0.5045793
60,0.06451692,0.5114943
60,0.06451692,0.5067402
60,0.06451692,0.5138713
60,0.06509165,0.5203542
60,0.06509165,0.5171127
60,0.06509165,0.5073885
60,0.06550328,0.5197058
60,0.06550328,0.5324554
60,0.06550328,0.5313749
60,0.06550328,0.5261887
60,0.06550328,0.5253243
60,0.06711096,0.522299
60,0.06711096,0.5324554
60,0.06711096,0.5419635
60,0.06711096,0.5480142
60,0.06711096,0.5497429
60,0.06961956,0.5506073
60,0.06961956,0.5573062
60,0.06961956,0.5465015
60,0.07192623,0.5445567
60,0.07192623,0.55212
60,0.07192623,0.5525521
60,0.07192623,0.5594671
60,0.07192623,0.5735133
60,0.07330091,0.5579545
60,0.07330091,0.5577384
60,0.07330091,0.56595
60,0.07330091,0.5620603
60,0.07330091,0.561628
60,0.07450473,0.5715684
60,0.07450473,0.5756742
60,0.07599591,0.5771868
60,0.07599591,0.5856145
60,0.07599591,0.5920973
60,0.07599591,0.586911
60,0.07599591,0.5942583
60,0.07599591,0.5901524
60,0.07744826,0.5987962
60,0.07744826,0.6003089
60,0.07744826,0.5899364
60,0.07744826,0.589072
60,0.07744826,0.5968514
60,0.07870645,0.6126263
60,0.07870645,0.6083043
60,0.07870645,0.6204056
60,0.0799491,0.6083043
60,0.0799491,0.611978
60,0.0799491,0.6080883
60,0.0799491,0.6113297
60,0.0799491,0.6067917
60,0.08126942,0.6214861
60,0.08126942,0.6346678
60,0.08126942,0.6437438
60,0.08126942,0.6383414
60,0.08126942,0.6353161
60,0.08295476,0.6454725
60,0.08295476,0.6536841
60,0.08470225,0.6478496
60,0.08470225,0.6333712
60,0.08470225,0.6424472
60,0.08470225,0.6467691
60,0.08470225,0.6394219
60,0.08470225,0.6413667
60,0.08630216,0.6437438
60,0.08630216,0.6504427
60,0.08630216,0.6642727
60,0.08630216,0.6584382
60,0.0882205,0.6539002
60,0.0882205,0.6571416
60,0.0882205,0.6515232
60,0.08977382,0.6597347
60,0.08977382,0.6681624
60,0.08977382,0.6720521
60,0.08977382,0.6817763
60,0.08977382,0.6690267
60,0.08977382,0.6746452
60,0.09114073,0.6921488
60,0.09114073,0.6884752
60,0.09114073,0.692581
60,0.09114073,0.6832889
60,0.09114073,0.6867464
60,0.09253871,0.6979834
60,0.09253871,0.6860982
60,0.09253871,0.6863143
60,0.09348623,0.6923649
60,0.09348623,0.6984155
60,0.09348623,0.6951741
60,0.09348623,0.7012247
60,0.09348623,0.7090042
60,0.09425513,0.7096524
60,0.09425513,0.7079237
60,0.09425513,0.7066271
60,0.09425513,0.7131099
60,0.09567641,0.7191605
60,0.09567641,0.7269399
60,0.09567641,0.7312618
60,0.09761029,0.7336389
60,0.09761029,0.7325584
60,0.09761029,0.7252112
60,0.09761029,0.7258595
60,0.09761029,0.7288848
60,0.09761029,0.7349354
60,0.09932671,0.7388251
60,0.09932671,0.7373124
60,0.09932671,0.736448
60,0.09932671,0.74077
60,0.1008567,0.7470366
60,0.1008567,0.7483332
60,0.1008567,0.7474688
60,0.1025032,0.7567609
60,0.1025032,0.7558965
60,0.1025032,0.7647564
60,0.1025032,0.7645403
60,0.1025032,0.7686461
60,0.1025032,0.7669173
60,0.1041497,0.7677817
60,0.1041497,0.7669173
60,0.1041497,0.7701587
60,0.1041497,0.7727518
60,0.1041497,0.7842048
60,0.1055788,0.7941451
60,0.1055788,0.7896072
60,0.1068913,0.7863657
60,0.1068913,0.7835566
60,0.1068913,0.7952256
60,0.1068913,0.7982509
60,0.1068913,0.7954417
60,0.1068913,0.7898232
60,0.1081573,0.7839887
60,0.1081573,0.7911198
60,0.1081573,0.8055981
60,0.1081573,0.7986831
60,0.1081573,0.8049499
60,0.1095941,0.8140258
60,0.1095941,0.807543
60,0.1095941,0.8110005
60,0.1112251,0.8105683
60,0.1112251,0.8114327
60,0.1112251,0.800844
60,0.1112251,0.8133775
60,0.1112251,0.8196442
60,0.1129027,0.8226695
60,0.1129027,0.8280718
60,0.1129027,0.8345547
60,0.1129027,0.8371478
60,0.1146191,0.8410375
60,0.1146191,0.8449272
60,0.1146191,0.8451433
60,0.1161491,0.8408214
60,0.1161491,0.8464399
60,0.1161491,0.8343386
60,0.1161491,0.8403892
60,0.1161491,0.8507617
60,0.1161491,0.8518422
